"DATE","PROTOCOL","VOLUME_USD","CUM_VOLUME_USD"
"2024-05-27 00:00:00.000","sushi","2518561.65293311","115154798.263986"
"2024-05-20 00:00:00.000","cellana","108303835.413081","581449734.630188"
"2024-05-20 00:00:00.000","animeswap","7192.208181996","362174.844895663"
"2024-05-20 00:00:00.000","thala","14237125.0902098","412011264.790657"
"2024-05-20 00:00:00.000","sushi","3607933.07937941","112636236.611053"
"2024-05-20 00:00:00.000","liquidswap","38195749.4334495","791717142.731445"
"2024-05-20 00:00:00.000","batswap","55138.262127231","7476018.80433295"
"2024-05-20 00:00:00.000","pancake","6762105.19382021","266339436.809016"
"2024-05-20 00:00:00.000","hippo","10776456.7375059","363236126.290337"
"2024-05-20 00:00:00.000","auxexchange","28417.878927239","1211337.09531673"
"2024-05-20 00:00:00.000","cetus","14252.026563524","763230.514228737"
"2024-05-13 00:00:00.000","animeswap","8176.022503244","354982.636713667"
"2024-05-13 00:00:00.000","liquidswap","37774266.060124","753521393.297995"
"2024-05-13 00:00:00.000","cellana","62859844.5333076","473145899.217106"
"2024-05-13 00:00:00.000","sushi","2224956.460356","109028303.531674"
"2024-05-13 00:00:00.000","batswap","42295.403219557","7420880.54220572"
"2024-05-13 00:00:00.000","pancake","4234414.31316817","259577331.615196"
"2024-05-13 00:00:00.000","cetus","9187.566378304","748978.487665214"
"2024-05-13 00:00:00.000","hippo","9013518.12839363","352459669.552831"
"2024-05-13 00:00:00.000","auxexchange","17498.42957531","1182919.21638949"
"2024-05-13 00:00:00.000","thala","10197279.6913836","397774139.700447"
"2024-05-06 00:00:00.000","sushi","1951738.20343333","106803347.071318"
"2024-05-06 00:00:00.000","auxexchange","16342.33379282","1165420.78681418"
"2024-05-06 00:00:00.000","cetus","8015.194817923","739790.92128691"
"2024-05-06 00:00:00.000","batswap","64643.574853514","7378585.13898616"
"2024-05-06 00:00:00.000","pancake","3489334.43439915","255342917.302027"
"2024-05-06 00:00:00.000","liquidswap","53319763.6916597","715747127.237872"
"2024-05-06 00:00:00.000","animeswap","6095.032009803","346806.614210423"
