SWAP_DATE,PLATFORM,TOTAL_SWAPS,UNIQUE_SWAPPERS,TOTAL_AMOUNT_IN,TOTAL_AMOUNT_OUT,UNIQUE_TOKENS_IN,UNIQUE_TOKENS_OUT,AVG_SWAPS_PER_USER,IMPLIED_FEE_PERCENTAGE
2024-08-28 00:00:00.000,animeswap,839,301,57372397247416,42733205881450,20,18,2.787375,0.255161
2024-08-28 00:00:00.000,batswap,328,52,835107152580913,745356550800196,12,13,6.307692,0.107472
2024-08-27 00:00:00.000,cellana,26996,2790,10899957424557736,6163149738662259,17,17,9.675986,0.434571
2024-08-27 00:00:00.000,liquidswap,24353,2547,240955373011053340,318187692355376700,53,53,9.561445,-0.320525
2024-08-27 00:00:00.000,thala,23790,868,533644313625141,524313529176549,17,15,27.407834,0.017485
2024-08-27 00:00:00.000,pancake,11318,1381,3202024328554383,3122184834017265,39,40,8.19551,0.024934
2024-08-27 00:00:00.000,hippo,6339,540,16699410311699144,953133052137464,31,27,11.738889,0.942924
2024-08-27 00:00:00.000,sushi,3628,440,10769541174097,10217339133096,14,16,8.245455,0.051274
2024-08-27 00:00:00.000,auxexchange,910,318,132550362268,81974164679,12,12,2.861635,0.381562
2024-08-27 00:00:00.000,animeswap,793,293,62817917573873,92203086257859,19,19,2.706485,-0.467783
2024-08-27 00:00:00.000,cetus,781,64,31853069933,29665293617,11,9,12.203125,0.068683
2024-08-27 00:00:00.000,batswap,258,47,530249167039690,281550829989168,12,10,5.489362,0.469022
2024-08-26 00:00:00.000,cellana,22733,2441,6011070672796535,6092429787293701,18,17,9.312986,-0.013535
2024-08-26 00:00:00.000,thala,18813,695,709195309845409,673387903731238,18,22,27.069065,0.05049
2024-08-26 00:00:00.000,liquidswap,17383,1511,142862640530283360,124010591143377100,41,41,11.504302,0.131959
2024-08-26 00:00:00.000,pancake,5538,933,3582991579168336,8078146548345298,35,37,5.935691,-1.254582
2024-08-26 00:00:00.000,hippo,2697,344,994380412156649,1735594314192799,33,30,7.840116,-0.745403
2024-08-26 00:00:00.000,sushi,1723,204,5071667162315,4172259042731,14,11,8.446078,0.17734
2024-08-26 00:00:00.000,auxexchange,469,205,49457070551,33098601915,12,11,2.287805,0.330761
2024-08-26 00:00:00.000,cetus,369,21,15185637343,10438008600,7,9,17.571429,0.312639
2024-08-26 00:00:00.000,animeswap,226,131,2832120639289,11260841594389,14,17,1.725191,-2.976116
2024-08-26 00:00:00.000,batswap,92,42,36866426466581,54623891466844,9,7,2.190476,-0.48167
2024-08-25 00:00:00.000,cellana,24577,2326,5662633471957835,5432670498263648,17,17,10.566208,0.040611
2024-08-25 00:00:00.000,liquidswap,19515,1704,129845512933085260,125333323565548420,49,59,11.452465,0.03475
2024-08-25 00:00:00.000,thala,19122,682,581728453637328,584357349870661,18,16,28.038123,-0.004519
2024-08-25 00:00:00.000,pancake,5944,1050,8813918518242171,1489607225403579,42,36,5.660952,0.830994
2024-08-25 00:00:00.000,hippo,5541,321,1922433582106791,1830925347984620,36,33,17.261682,0.0476
2024-08-25 00:00:00.000,sushi,2480,399,4027155793823,4590894541680,11,12,6.215539,-0.139984
2024-08-25 00:00:00.000,auxexchange,759,281,331300471254,338998724510,15,14,2.701068,-0.023236
2024-08-25 00:00:00.000,cetus,493,33,19388379968,22315730397,9,10,14.939394,-0.150985
2024-08-25 00:00:00.000,animeswap,398,186,586876089924,464826273637,19,18,2.139785,0.207965
2024-08-25 00:00:00.000,batswap,97,22,2149524121852396,169399853513551,8,9,4.409091,0.921192
2024-08-24 00:00:00.000,cellana,19988,2298,8085242870404637,7973732754724756,17,17,8.697998,0.013792
2024-08-24 00:00:00.000,liquidswap,17233,1623,134192135842791630,131795182084166100,45,48,10.617991,0.017862
2024-08-24 00:00:00.000,thala,17150,635,601652119866101,616432400503084,18,22,27.007874,-0.024566
