DATE,CHAIN,TOTAL_TX,TTL_TX_COUNT,TOTAL_USER,TPS
2024-08-15 00:00:00.000,Near,6194035,6194035,744343,71.69022
2024-07-30 00:00:00.000,Arbitrum,1856136,1856136,442608,21.483056
2024-07-30 00:00:00.000,BSC,3163384,3163384,805665,36.613241
2024-08-05 00:00:00.000,Ethereum,1113060,1113060,321776,12.882639
2024-07-20 00:00:00.000,Flow,164665,164665,6739,1.905845
2024-07-24 00:00:00.000,Arbitrum,1822008,1822008,475251,21.088056
2024-08-12 00:00:00.000,Arbitrum,2025195,2025195,347229,23.439757
2024-08-16 00:00:00.000,Ethereum,1090866,1090866,387956,12.625764
2024-07-21 00:00:00.000,Polygon,3393927,3393927,1471020,39.281563
2024-08-02 00:00:00.000,Blast,717442,717442,31354,8.303727
2024-07-28 00:00:00.000,BSC,2863219,2863219,772154,33.139109
2024-08-16 00:00:00.000,Solana,38806051,38806051,1162250,449.144109
2024-07-29 00:00:00.000,Aptos,4661207,4661207,184033,53.949155
2024-07-27 00:00:00.000,Blast,610112,610112,41268,7.061481
2024-07-22 00:00:00.000,Polygon,3409797,3409797,1408093,39.465243
2024-08-12 00:00:00.000,Base,3628165,3628165,675980,41.99265
2024-07-19 00:00:00.000,Avalanche,167303,167303,39138,1.936377
2024-08-13 00:00:00.000,Polygon,2693030,2693030,795844,31.169329
2024-08-13 00:00:00.000,BSC,3310386,3310386,1333149,38.314653
2024-07-27 00:00:00.000,Arbitrum,1678312,1678312,406122,19.424907
2024-07-30 00:00:00.000,Near,6602259,6602259,1879329,76.415035
2024-07-25 00:00:00.000,Near,7177537,7177537,2000960,83.073345
2024-08-11 00:00:00.000,Flow,509879,509879,65685,5.901377
2024-07-19 00:00:00.000,Aptos,1668622,1668622,183604,19.312755
2024-07-17 00:00:00.000,Optimism,539064,539064,94264,6.239167
2024-07-20 00:00:00.000,Base,4018803,4018803,801901,46.513924
2024-07-18 00:00:00.000,BSC,3251792,3251792,944058,37.636481
2024-08-05 00:00:00.000,Near,6539077,6539077,1760329,75.683762
2024-08-06 00:00:00.000,Near,6353560,6353560,1759257,73.536574
