DATE,ASSET,N_TXS,TOTAL_SWAPS,N_USER,VOLUME,TOTAL_VOLUME
2024-08-25 00:00:00.000,FOMO,1,64,1,0.00000150185,0.03777729612
2024-08-25 00:00:00.000,UPTOS,1053,15105,14,42134.720202284,496226.78987117
2024-08-24 00:00:00.000,CHEWY,4,93,4,11.276549685,87.669527906
2024-08-24 00:00:00.000,APARTMENT,1,11,1,201238.333333333,201238.80741677
2024-08-24 00:00:00.000,DONK,172,1289,4,7311.966416638,48750.063425169
2024-08-24 00:00:00.000,UPTOS,1047,14052,16,43637.659592468,454092.069668886
2024-08-24 00:00:00.000,SHRIMP,5,66,4,289.54162617,12577.77197446
2024-08-24 00:00:00.000,GUI,105,1631,54,26022.554702706,17935778.7382574
2024-08-24 00:00:00.000,APTO,21,103,6,301.866555725,57288661.6053784
2024-08-24 00:00:00.000,doodoo,9803,78581,30,1486015.60457856,10826670.7644558
2024-08-23 00:00:00.000,GUI,147,1526,67,253516.051569427,17909756.1835547
2024-08-23 00:00:00.000,UPTOS,1051,13005,17,39216.780221789,410454.410076418
2024-08-23 00:00:00.000,SHRIMP,1,61,1,3.41125,12288.230348289
2024-08-23 00:00:00.000,doodoo,9826,68778,16,1411040.21221169,9340655.15987725
2024-08-23 00:00:00.000,CHEWY,2,89,2,3.892410142,76.392978221
2024-08-23 00:00:00.000,ROO,5,34,5,1827424.15730447,1829392.47261643
2024-08-23 00:00:00.000,APTO,2,82,2,1429576.08250387,57288359.7388227
2024-08-23 00:00:00.000,APARTMENT,2,10,1,0.2060332233,0.4740834365
2024-08-23 00:00:00.000,DONK,183,1117,8,7026.902198331,41438.097008531
2024-08-22 00:00:00.000,GUI,129,1379,66,335782.126950673,17656240.1319853
2024-08-22 00:00:00.000,SHRIMP,3,60,3,17.465517591,12284.819098289
2024-08-22 00:00:00.000,CHEWY,2,87,2,1.337963389,72.500568079
2024-08-22 00:00:00.000,ROO,2,29,1,113.073786644,1968.315311963
2024-08-22 00:00:00.000,APARTMENT,1,8,1,0.00499684395,0.2680502132
2024-08-22 00:00:00.000,doodoo,7575,58952,20,1046976.10150021,7929614.94766556
2024-08-22 00:00:00.000,DONK,173,934,5,6918.917347465,34411.1948102
2024-08-22 00:00:00.000,APTO,2,80,2,27.230042242,55858783.6563188
2024-08-22 00:00:00.000,UPTOS,1007,11954,11,31712.191588609,371237.62985463
2024-08-21 00:00:00.000,SHRIMP,6,57,4,175.149570924,12267.353580698
2024-08-21 00:00:00.000,doodoo,6977,51377,20,955033.237424861,6882638.84616535
2024-08-21 00:00:00.000,FOMO,12,63,1,0.03777579208,0.03777579427
2024-08-21 00:00:00.000,DONK,179,761,4,6328.329838301,27492.277462735
2024-08-21 00:00:00.000,GUI,133,1250,61,4529453.80628086,17320458.0050346
2024-08-21 00:00:00.000,UPTOS,1000,10947,15,31055.858100888,339525.438266021
2024-08-20 00:00:00.000,FOMO,1,51,1,4.634333333e-11,2.18588e-9
2024-08-20 00:00:00.000,WOOF,1,1,1,2.431891252,2.431891252
2024-08-20 00:00:00.000,GUI,122,1117,57,1096153.01688963,12791004.1987538
2024-08-20 00:00:00.000,doodoo,7369,44400,26,971199.6917086,5927605.60874049
2024-08-20 00:00:00.000,CHEWY,4,85,4,34.186996712,71.16260469
2024-08-20 00:00:00.000,DONK,200,582,8,7047.471104237,21163.947624434
2024-08-20 00:00:00.000,SHRIMP,5,51,5,11.406625325,12092.204009775
2024-08-20 00:00:00.000,APTO,5,78,4,49390917.6237892,55858756.4262766
2024-08-20 00:00:00.000,ROO,3,27,3,13.864594329,1855.241525319
2024-08-20 00:00:00.000,UPTOS,995,9947,18,31944.531952972,308469.580165133
2024-08-19 00:00:00.000,SHRIMP,4,46,3,176.127950608,12080.79738445
2024-08-19 00:00:00.000,FOMO,48,50,1,2.139536667e-9,2.139536667e-9
2024-08-19 00:00:00.000,GUI,166,995,53,32847.901394751,11694851.1818641
2024-08-19 00:00:00.000,UPTOS,986,8952,9,25619.743785132,276525.04821216
2024-08-19 00:00:00.000,ROO,1,24,1,36.727554332,1841.37693099
2024-08-19 00:00:00.000,APTO,49,73,5,5.38185948,6467838.80248739
2024-08-19 00:00:00.000,doodoo,7339,37031,22,668730.144456975,4956405.91703189
2024-08-19 00:00:00.000,DONK,274,382,4,7620.189867878,14116.476520196
2024-08-19 00:00:00.000,CHEWY,57,81,3,0.0000864229174,36.975607978
2024-08-18 00:00:00.000,DONK,94,108,5,4176.728479835,6496.286652318
2024-08-18 00:00:00.000,GUI,88,829,48,90832.728953675,11662003.2804694
2024-08-18 00:00:00.000,UPTOS,1016,7966,11,25270.032663751,250905.304427028
2024-08-18 00:00:00.000,doodoo,3713,29692,23,510705.691194845,4287675.77257491
2024-08-18 00:00:00.000,FOMO,1,2,1,0,0
2024-08-18 00:00:00.000,APTO,10,24,5,135.23328,6467833.42062791
2024-08-18 00:00:00.000,APARTMENT,1,7,1,0.02983383,0.2630533692
2024-08-18 00:00:00.000,ROO,3,23,2,76.73471717,1804.649376658
2024-08-18 00:00:00.000,SHRIMP,11,42,6,7040.984430402,11904.669433842
2024-08-17 00:00:00.000,CHEWY,2,24,2,9.753843458,36.975521555
2024-08-17 00:00:00.000,GUI,43,741,28,898866.211959974,11571170.5515157
2024-08-17 00:00:00.000,ROO,5,20,5,281.913533715,1727.914659489
2024-08-17 00:00:00.000,APTO,10,14,6,6467690.52919127,6467698.18734791
2024-08-17 00:00:00.000,SHRIMP,7,31,6,1965.563942879,4863.68500344
2024-08-17 00:00:00.000,UPTOS,950,6950,15,26647.662679388,225635.271763277
2024-08-17 00:00:00.000,doodoo,3747,25979,33,509294.516834179,3776970.08138007
2024-08-16 00:00:00.000,ROO,4,15,4,972.21875,1446.001125773
2024-08-16 00:00:00.000,SHRIMP,3,24,3,49.251138856,2898.121060561
2024-08-16 00:00:00.000,doodoo,3672,22232,21,512960.436300723,3267675.56454589
2024-08-16 00:00:00.000,UPTOS,992,6000,12,26696.163421963,198987.60908389
2024-08-16 00:00:00.000,GUI,71,698,53,1782063.70454213,10672304.3395557
2024-08-16 00:00:00.000,CHEWY,1,22,1,0.002435515589,27.221678097
2024-08-16 00:00:00.000,DONK,11,14,5,738.360730913,2319.558172483
2024-08-15 00:00:00.000,DONK,1,3,1,814.44064481,1581.19744157
2024-08-15 00:00:00.000,doodoo,3657,18560,20,531618.517249778,2754715.12824517
2024-08-15 00:00:00.000,SHRIMP,3,21,2,2514.690561409,2848.869921705
2024-08-15 00:00:00.000,ROO,2,11,2,189.631902036,473.782375773
2024-08-15 00:00:00.000,APTO,1,4,1,6.500833333,7.658156637
2024-08-15 00:00:00.000,CHEWY,5,21,4,19.051411999,27.219242582
2024-08-15 00:00:00.000,UPTOS,949,5008,14,33964.560173244,172291.445661926
2024-08-15 00:00:00.000,GUI,72,627,58,6836838.86485623,8890240.63501361
2024-08-14 00:00:00.000,ROO,5,9,5,276.749635225,284.150473738
2024-08-14 00:00:00.000,GUI,143,555,67,120028.02613028,2053401.77015738
2024-08-14 00:00:00.000,APTO,2,3,2,0.5473233033,1.157323303
2024-08-14 00:00:00.000,SHRIMP,7,18,6,0.1536323485,334.179360296
2024-08-14 00:00:00.000,APARTMENT,6,6,5,0.2332195392,0.2332195392
2024-08-14 00:00:00.000,doodoo,3647,14903,43,556634.123082605,2223096.61099539
2024-08-14 00:00:00.000,UPTOS,997,4059,23,38527.890759925,138326.885488682
2024-08-14 00:00:00.000,CHEWY,2,16,2,1.680251887,8.167830583
2024-08-13 00:00:00.000,GUI,161,412,61,74514.544400642,1933373.7440271
2024-08-13 00:00:00.000,UPTOS,1024,3062,15,33217.491163179,99798.994728757
2024-08-13 00:00:00.000,CHEWY,12,14,1,0.00001633116008,6.487578696
2024-08-13 00:00:00.000,DONK,1,2,1,731.592228417,766.75679676
2024-08-13 00:00:00.000,doodoo,3728,11256,19,559006.823866595,1666462.48791278
2024-08-13 00:00:00.000,SHRIMP,1,11,1,233.825732155,334.025727947
2024-08-12 00:00:00.000,ROO,2,4,2,4.408455815,7.400838513
2024-08-12 00:00:00.000,doodoo,3765,7528,29,548694.951654468,1107455.66404619
2024-08-12 00:00:00.000,GUI,131,251,60,1181674.00087281,1858859.19962646
2024-08-12 00:00:00.000,SHRIMP,6,10,5,99.879248711,100.199995792
2024-08-12 00:00:00.000,UPTOS,1042,2038,13,32288.478428524,66581.503565578
2024-08-12 00:00:00.000,FOMO,1,1,1,0,0
2024-08-12 00:00:00.000,CHEWY,1,2,1,0.3875623652,6.487562365
2024-08-11 00:00:00.000,GUI,120,120,45,677185.198753653,677185.198753653
2024-08-11 00:00:00.000,SHRIMP,4,4,4,0.3207470806,0.3207470806
2024-08-11 00:00:00.000,APTO,1,1,1,0.61,0.61
2024-08-11 00:00:00.000,UPTOS,996,996,20,34293.025137055,34293.025137055
2024-08-11 00:00:00.000,DONK,1,1,1,35.164568344,35.164568344
2024-08-11 00:00:00.000,ROO,2,2,1,2.992382697,2.992382697
2024-08-11 00:00:00.000,CHEWY,1,1,1,6.1,6.1
2024-08-11 00:00:00.000,doodoo,3763,3763,31,558760.712391721,558760.712391721
